"26","8","1","Ullathorne Road","Aldsington Road","","","RG 12/456","86
"
"26","8","198","Wallis Cottages","New Park Road","","","RG 12/458","138
"
"26","8","199","Wallis Court","Clapham Park Road","","1-6","RG 12/443","74-75
"
"26","8","200","Walters Cottages","Point Pleasant","","1-4","RG 12/445","55
"
"26","8","201","Walton Villas","Pentlow Street","","1","RG 12/452","164
"
"26","8","202","Wandle Cottage (Pimms Mill)","South street","","","RG 12/448","107
"
"26","8","203","Wandle Road","Trinity Road","","1-57 odd","RG 12/451","13-15
"
"26","8","204","Wandle Road","Trinity Road","","2-52 even","RG 12/451","15-17
"
"26","8","205","Wandsworth","High Street","","1-39 odd","RG 12/448","87-89
"
"26","8","206","Wandsworth","High Street","","136-144 even","RG 12/445","88-89
"
"26","8","207","Wandsworth","High Street","","2-42, 50-72 even","RG 12/447","5-7
"
"26","8","208","Wandsworth","High Street","","49-141 odd","RG 12/445","128-135
"
"26","8","209","Wandsworth","High Street","","78-134 even","RG 12/445","4-6
"
"26","8","210","Wandsworth","High Street","","Aylings Alley","RG 12/445","129
"
"26","8","211","Wandsworth","High Street","","Bank Buildings, Wandsworth, 2-11","RG 12/448","87
"
"26","8","212","Wandsworth","High Street","","Carters Yard, Wandsworth, 1-4","RG 12/445","5
"
"26","8","213","Wandsworth","High Street","","Chapel Memorial Hall and Yard, Wandsworth, 65","RG 12/445","128
"
"26","8","214","Wandsworth","High Street","","Crane Inn","RG 12/445","16
"
"26","8","215","Wandsworth","High Street","","Dutch Yard, Wandsworth, 1-7","RG 12/445","132
"
"26","8","216","Wandsworth","High Street","","Fields Alley 1-4, 1-4","RG 12/445","129
"
"26","8","217","Wandsworth","High Street","","Garden Place, Wandsworth, 1-12","RG 12/445","133-134
"
"26","8","218","Wandsworth","High Street","","James Yard, Wandsworth, 1-11","RG 12/445","127-128
"
"26","8","219","Wandsworth","High Street","","Kings Arms Cottages, Wandsworth, 1-3","RG 12/445","4
"
"26","8","220","Wandsworth","High Street","","Newtons Yard, Wandsworth, 1-7","RG 12/445","130
"
"26","8","221","Wandsworth","High Street","","Red Lion Yard, Wandsworth, 1-5","RG 12/445","134
"
"26","8","222","Wandsworth","High Street","","Simrose Court 1-7","RG 12/445","130-131
"
"26","8","223","Wandsworth","High Street","","Stimpsons Buildings, Wandsworth, 1-23","RG 12/448","85-87
"
"26","8","224","Wandsworth","High Street","","Stockwell Cottages, Wandsworth, 1-7","RG 12/445","5-6
"
"26","8","225","Wandsworth","High Street","","Town Hall, Wandsworth","RG 12/447","6
"
"26","8","226","Wandsworth","High Street","","West Place, Wandsworth, 1-3","RG 12/445","135
"
"26","8","227","Wandsworth Bridge Road","York Road, Battersea","Odd numbers not yet built","2-42even","RG 12/447","133-136
"
"26","8","228","Wandsworth Bridge Road","York Road, Battersea","The Wandsworth part of this road later becomes Bridgend Road. The remainder north of the Thames is in FULHAM district","","",""
"26","8","229","Wandsworth Common,","Battersea","","36-46","RG 12/448","70
"
"26","8","230","Wandsworth Common,","Battersea","","52-56 even","RG 12/448","67
"
"26","8","231","Wandsworth Common,","Battersea","","Althorpe House, Wandsworth Common,, 8","RG 12/436","105
"
"26","8","232","Wandsworth Common,","Battersea","","Ashdowne House, Wandsworth Common,, 10","RG 12/436","105
"
"26","8","233","Wandsworth Common,","Battersea","","Blendworth House, Wandsworth Common,, 50","RG 12/436","108
"
"26","8","234","Wandsworth Common,","Battersea","","Castle Cottage, Wandsworth Common,, 26","RG 12/436","106
"
"26","8","235","Wandsworth Common,","Battersea","","Cornwall Villa, Wandsworth Common,, 12","RG 12/436","106
"
"26","8","236","Wandsworth Common,","Battersea","","Devon House, Wandsworth Common,, 4","RG 12/436","105
"
"26","8","237","Wandsworth Common,","Battersea","","Durham Lodge, Wandsworth Common,, 14","RG 12/436","106
"
"26","8","238","Wandsworth Common,","Battersea","","Emmanuel School, Wandsworth Common,","RG 12/439","136-142
"
"26","8","239","Wandsworth Common,","Battersea","","HM Prison","RG 12/451","71-94
"
"26","8","240","Wandsworth Common,","Battersea","","Halford Lodge, Wandsworth Common,, 16","RG 12/436","106
"
"26","8","241","Wandsworth Common,","Battersea","","Limes Cottage, Wandsworth Common,, 28","RG 12/436","106
"
"26","8","242","Wandsworth Common,","Battersea","","Rathgar, Wandsworth Common,, 32","RG 12/436","107
"
"26","8","243","Wandsworth Common,","Battersea","","Riversdale, Wandsworth Common,, 46","RG 12/436","108
"
"26","8","244","Wandsworth Common,","Battersea","","Rokeby, Wandsworth Common,, 34","RG 12/436","107
"
"26","8","245","Wandsworth Common,","Battersea","","Rushmore Cottage, Wandsworth Common,, 22","RG 12/436","106
"
"26","8","246","Wandsworth Common,","Battersea","","Spencer House, Wandsworth Common,, 6","RG 12/436","105
"
"26","8","247","Wandsworth Common,","Battersea","","Spencer Park 1-23 odd","RG 12/448","68-69
"
"26","8","248","Wandsworth Common,","Battersea","","Station Masters House, Wandsworth Common,","RG 12/439","6
"
"26","8","249","Wandsworth Common,","Battersea","","The Farm, Wandsworth Common,","RG 12/438","160
"
"26","8","250","Wandsworth Common,","Battersea","","Westminster Union Schools, Wandsworth Common,","RG 12/439","130-135
"
"26","8","251","Wandsworth Common,","Battersea","58-68 even do not exist","70-96 even","RG 12/448","66-67
"
"26","8","252","Wandsworth Common,","Battersea","no odd numbers","2-50 even","RG 12/436","105-108
"
"26","8","253","Wandsworth Plain","Wandsworth High Street","","1-12","RG 12/445","20-21
"
"26","8","254","Wandsworth Plain","Wandsworth High Street","","13","RG 12/445","16
"
"26","8","255","Wandsworth Plain","Wandsworth High Street","","14-15","RG 12/445","15
"
"26","8","256","Wandsworth Plain","Wandsworth High Street","","Bell Inn","RG 12/445","17
"
"26","8","257","Wandsworth Plain","Wandsworth High Street","","Crane Inn","RG 12/445","16
"
