"6","4","152","Little Hill","Mount Pleasant Lane","","Orchard Terrace, Little Hill, 2-7","RG 12/183","150-151
"
"6","4","153","Little Hill","Mount Pleasant Lane","","St Matthews Mission Hall and others","RG 12/183","145-146, 157
"
"6","4","154","Little Hill","Mount Pleasant Lane","","William Cottages, Little Hill","RG 12/183","150
"
"6","4","155","Little Margaret Street","Chapel Road","","","RG 12/183","178-180
"
"6","4","156","Lockhurst Street","Glyn Road","","","RG 12/199","16-25
"
"6","4","157","Loddiges Road","St Thomas Square","","1-11 Odd","RG 12/195","100-101
"
"6","4","158","Loddiges Road","St Thomas Square","","13-71 Odd","RG 12/195","75-78
"
"6","4","159","Loddiges Road","St Thomas Square","","2-26 Even","RG 12/195","101-102
"
"6","4","160","Loddiges Road","St Thomas Square","","28-102 Even","RG 12/195","70-75
"
"6","4","161","Londesborough Road","Broughton Road","","","RG 12/181","74-83
"
"6","4","162","London Fields roughly covered by","","","","RG 12/194","111-138
"
"6","4","163","London Fields roughly covered by","","","","RG 12/204","29-100
"
"6","4","164","London General Omnibus Yard","Church Street","","","RG 12/180","35
"
"6","4","165","London Lane","Mare Street","","Even Nos","RG 12/191","11-14
"
"6","4","166","London Lane","Mare Street","","Odd Nos","RG 12/204","11-13
"
"6","4","167","London Place","West Street","Including Pacifico Terrace, Jubilee Cottage and Norfolk House","","RG 12/204","61-63
"
"6","4","168","London Road","Downs Road","","","RG 12/197","124-134
"
"6","4","169","London Terrace","London Fields","","Field View, London Terrace","RG 12/194","114-116
"
"6","4","170","London Terrace","London Fields","","Marlborough Cottage, London Terrace","RG 12/194","111
"
"6","4","171","London Terrace","London Fields","West Side","Richmond Villas, London Terrace","RG 12/194","111-112
"
"6","4","172","London Terrace","London Fields","later London Fields","1-18","RG 12/194","112-114
"
"6","4","173","Longs Cottages","Hill Street","","","RG 12/182","53
"
"6","4","174","Lordship Grove","Lordship Road","","","RG 12/179","144-145
"
"6","4","175","Lordship Park & Mews","Green Lanes","","","RG 12/180","4-13
"
"6","4","176","Lordship Road","Church Street","","1-73 Odd","RG 12/179","139-142
"
"6","4","177","Lordship Road","Church Street","","10-124 Even","RG 12/179","133-139
"
"6","4","178","Lordship Road","Church Street","","126-228 Even","RG 12/179","65-69
"
"6","4","179","Lordship Road","Church Street","","2-8 Even","RG 12/179","142
"
"6","4","180","Lordship Road","Church Street","","75-141 Odd","RG 12/179","158-161
"
"6","4","181","Lordship Road","Church Street","","Stables near 208","RG 12/179","56
"
"6","4","182","Lordship Terrace & Meadow Street","","","","RG 12/179","145-147
"
"6","4","183","Lorne Terrace","pt Green Lanes","","2-20 Even","RG 12/1066","145-146
"
"6","4","184","Lorne Terrace","pt Green Lanes","Remainder now numbered as Green Lanes? See also 1078/ED 35?","","",""
"6","4","185","Lorne Villas","pt Manderville Street","","","RG 12/200","5-7
"
"6","4","186","Louise Cottages","The Grove","","","RG 12/191","9
"
"6","4","187","Lower Clapton Road","","","Atholl House, Lower Clapton Road","RG 12/198","35
"
"6","4","188","Lower Clapton Road","","","Bakers Almshouses & Pond House, Lower Clapton Road","RG 12/198","12
"
"6","4","189","Lower Clapton Road","","","Bow House & Pond Farm, Lower Clapton Road","RG 12/198","12-13
"
"6","4","190","Lower Clapton Road","","","Brooke House Lunatic Asylum, Lower Clapton Road","RG 12/203","135-139
"
"6","4","191","Lower Clapton Road","","","Clapton Market, Lower Clapton Road","RG 12/198","5-6
"
"6","4","192","Lower Clapton Road","","","Clapton Pavement 1-5","RG 12/196","72
"
"6","4","193","Lower Clapton Road","","","Clapton Pavement 6-23","RG 12/196","69-71
"
