"3","2","182","Fulham Road","","South side","105-167 Odd","RG 12/59","86-89
"
"3","2","183","Fulham Road","","South side","169 and Sydney Terrace, Fulham Road","RG 12/59","40
"
"3","2","184","Fulham Road","","South side","169A and B-191 Odd","RG 12/59","40-41
"
"3","2","185","Fulham Road","","South side","221-235 Odd","RG 12/59","17
"
"3","2","186","Fulham Road","","South side","241-267","RG 12/58","137-138
"
"3","2","187","Fulham Road","","South side","299-361","RG 12/58","83-85
"
"3","2","188","Fulham Road","","South side","35-75 Odd","RG 12/30","81-82
"
"3","2","189","Fulham Road","","South side","363-365","RG 12/58","43
"
"3","2","190","Fulham Road","","South side","391-457","RG 12/58","4-6
"
"3","2","191","Fulham Road","","South side","77-103","RG 12/60","64-65
"
"3","2","192","Fulham Road","","South side","Cancer Hospital 179-185?","RG 12/62","99-114
"
"3","2","193","Fulham Road","","South side","Consumption Hospital Extension 193-219?","RG 12/62","132-137
"
"3","2","194","Fulham Road","","South side","Elm Park Terrace 269-295?","RG 12/58","136-137
"
"3","2","195","Fulham Road","","South side","St Marys College 459?","RG 12/62","126-131
"
"3","2","196","Fulham Road","","South side","Womens Hospital 237-239? Odd","RG 12/59","17-18
"
"3","2","197","Fulham Road","","South side","Workhouse 367-389?, Fulham Road","RG 12/62","99-114
"
"3","2","198","Fulham Road","","South side continued in Fulham District","","",""
