"11","3","166","Hayter Road","Brixton Hill","","40-70 even","RG 12/410","53-54
"
"11","3","167","Heathfield","part Gipsy Road","","","RG 12/418","91-92
"
"11","3","168","Heathfield (Heathcote) Place","Mason Street","Demolished","","RG 12/391","164
"
"11","3","169","Heathfield House","part Ardville Road","","","RG 12/414","28
"
"11","3","170","Hemans Street","Wandsworth Road","","26 even","RG 12/402","36
"
"11","3","171","Hemans Street","Wandsworth Road","","28-60 even","RG 12/402","37-40
"
"11","3","172","Hemans Street","Wandsworth Road","","2A even","RG 12/402","44
"
"11","3","173","Hemans Street","Wandsworth Road","","8-24 even","RG 12/402","31-32
"
"11","3","174","Hemans Street","Wandsworth Road","","odd numbers","RG 12/402","40-44
"
"11","3","175","Hemberton Road","Mayflower Road","","Albert Terrace, Hemberton Road","RG 12/406","44-45
"
"11","3","176","Hemberton Road","Mayflower Road","","Dunsford (?) Terrace, Hemberton Road","RG 12/406","44
"
"11","3","177","Hemberton Road","Mayflower Road","","Hemberton Road","RG 12/406","45-47
"
"11","3","178","Hemberton Road","Mayflower Road","","St Johns Terrace, Hemberton Road","RG 12/406","47
"
"11","3","179","Hemberton Road","Mayflower Road","","Various named houses, Hemberton Road","RG 12/406","47-48
"
"11","3","180","Henry Place","Cornwall Road","","","RG 12/387","34
"
"11","3","181","Henry Street","Dorset Road","now Cobbett Street","","",""
"11","3","182","Henry Street","Upper Kennington Lane","now contains Cornhill Cotts (no 10,2 is on ff 198 and 206)","","RG 12/398","198-207
"
"11","3","183","Henry Street","Vassall Road","now Farrar Street","","",""
"11","3","184","Herbert House","Coldharbour Lane","","","RG 12/406","199-200
"
"11","3","185","Herbert Road","Stockwell Road","","","RG 12/407","58-62
"
"11","3","186","Hercules Road","Lambeth Road","","1-93 odd","RG 12/391","22-28
"
"11","3","187","Hercules Road","Lambeth Road","","2-22 even","RG 12/391","91-93
"
"11","3","188","Hercules Road","Lambeth Road","","32-86 even","RG 12/391","110-113
"
