"19","8","1","Union Place","Orchard Street","continued as Bond Court","1-3","RG 12/80","68
"
"19","8","139","Williams Place","Tufton Street","","1-6","RG 12/78","72-73
"
"19","8","140","Williams Place","Tufton Street","","pt, Williams Place, 5","RG 12/78","70
"
"19","8","141","Willow Cottage","Westbourne Street","","","RG 12/72","174
"
"19","8","142","Willow Street","","","1-55 consecutive","RG 12/83","100-106
"
"19","8","143","Willow Street","Rochester Row","","54-66 Even","RG 12/83","80
"
"19","8","144","Willow Street","Rochester Row","","57-59 Odd","RG 12/83","106
"
"19","8","145","Willow Street","Rochester Row","","Place, Willow Street","RG 12/83","106-107
"
"19","8","146","Wilton Crescent","Belgrave Square","","1-15","RG 12/71","43-44
"
"19","8","147","Wilton Crescent","Belgrave Square","","16-30","RG 12/71","19-21
"
"19","8","148","Wilton Crescent","Belgrave Square","","34-50","RG 12/71","44-46
"
"19","8","149","Wilton Crescent","Belgrave Square","","Mews, Wilton Crescent","RG 12/71","21-23
"
"19","8","150","Wilton Mews and Livery Yard","Chester Street","","","RG 12/71","79-80
"
"19","8","151","Wilton Place","Knightsbridge","","1-37","RG 12/71","16-19
"
"19","8","152","Wilton Place","St Pauls Vicarage","","38-39","RG 12/71","7
"
"19","8","153","Wilton Place","St Pauls Vicarage","","Clergy House & Schools, Wilton Place","RG 12/71","19
"
"19","8","154","Wilton Road","Vauxhall Bridge Road","","","RG 12/72","128-132
"
"19","8","155","Wilton Street","Grosvenor Place","","1-15","RG 12/71","63-64
"
"19","8","156","Wilton Street","Grosvenor Place","","16-14","RG 12/72","4
"
"19","8","157","Wilton Terrace","Belgrave Square","","","RG 12/71","52
"
"19","8","158","Winchester Street","Lupus Street","","1-19 Odd","RG 12/75","48, 49
"
"19","8","159","Winchester Street","Lupus Street","","13A Odd","RG 12/75","51
"
"19","8","160","Winchester Street","Lupus Street","","14-72 Even","RG 12/74","102-107
"
"19","8","161","Winchester Street","Lupus Street","","2-12 Even","RG 12/75","49-51
"
"19","8","162","Winchester Street","Lupus Street","","23-113 Odd","RG 12/74","129-137
"
"19","8","163","Winchester Terrace","Couston Street","","","RG 12/78","214
"
"19","8","164","Windsor Place","Francis Street","","","RG 12/83","77
"
"19","8","165","Wlmbush Yard","Kinnerton Street","","","RG 12/71","42-43, 84
"
"19","8","166","Wood Street","Millbank","","1-27 Odd","RG 12/78","27-28
"
"19","8","167","Wood Street","Millbank","","2-40 Even","RG 12/78","5-7
"
"19","8","168","Wood Street","Millbank","","29-47 Odd","RG 12/78","68-70
"
"19","8","169","Wood Street","Millbank","","49 Odd","RG 12/78","90
"
"19","8","170","Wood Street","Millbank","","51 Odd","RG 12/78","67
"
"19","8","171","Wood Street","Millbank","","53-55 Odd","RG 12/78","90
"
"19","8","172","Woods Mews","Park Lane","","","RG 12/67","90-91
"
"19","8","173","Woods Place","Wood Street","","1-10","RG 12/78","70-71
"
"19","8","174","Woods Place","Wood Street","","9","RG 12/78","90
"
"19","8","175","Woods Place","Wood Street","","pt, Woods Place, 1","RG 12/78","71, 75
"
"19","8","176","Woods Place","Wood Street","","pt, Woods Place, 4","RG 12/78","71
"
"19","8","177","Woodstock Street","Oxford Street","","","RG 12/67","32-35, 41
"
"19","8","178","Worcester Street","Lupus Street","","","RG 12/76","115-117
"
"19","8","179","Workhouses","","","Infirmary, Workhouses","RG 12/70","104-119
"
"19","8","180","Workhouses","Fulham Road","","St Georges Union","RG 12/70","74-103
"
"19","8","181","Workhouses","Wallis Yard, Buckingham Palace Road","","St Georges Union","RG 12/77","58-62
"
"19","8","182","Yarmouth Mews","Brick Street","","","RG 12/70","25
"
"19","8","183","York Buildings","Romney Street","","","RG 12/78","96-97
"
"19","8","184","York Street","Broadway","1-2, 6-25 demolished","Remainder, York Street","RG 12/82","105-112
"
"19","8","185","Youngs Place","Wood Street","","","RG 12/78","7
"
