"23","1","266","Bronti Place","East Street","","","RG 12/361","111-117
"
"23","1","267","Brook Cottages","Kinglake Street","","","RG 12/345","88
"
"23","1","268","Brook Street","","Remainder in LAMBETH District","","",""
"23","1","269","Brook Street","","was Pleasant Place","116-142 even","RG 12/366","85-88
"
"23","1","270","Brunswick Court","Brunswick Street","","2","RG 12/340","57, 80
"
"23","1","271","Brunswick Court","Brunswick Street","","3-4","RG 12/340","56-57
"
"23","1","272","Brunswick Court","Brunswick Street","","44","RG 12/340","81
"
"23","1","273","Brunswick Court","Brunswick Street","","5A","RG 12/340","55
"
"23","1","274","Brunswick Court","Brunswick Street","","5B","RG 12/340","40, 56
"
"23","1","275","Brunswick Court","Brunswick Street","","6-11","RG 12/340","55-56
"
"23","1","276","Brunswick Court","Brunswick Street","","1","RG 12/340","68
"
"23","1","277","Brunswick Place","","","11-15","RG 12/340","44
"
"23","1","278","Brunswick Place","Brunswick Street","","1-8","RG 12/340","43-44
"
"23","1","279","Brunswick Place","Falmouth Road later pt of Circular Road","","","RG 12/352","33-34
"
"23","1","280","Brunswick Place or Court","County Terrace Street","","","RG 12/353","58-59
"
"23","1","281","Brunswick Row","Brunswick Street","","","RG 12/340","43
"
"23","1","282","Brunswick Street","Stamford Street","","1","RG 12/340","51
"
"23","1","283","Brunswick Street","Stamford Street","","16","RG 12/340","50
"
"23","1","284","Brunswick Street","Stamford Street","","17-24","RG 12/340","46-48
"
"23","1","285","Brunswick Street","Stamford Street","","2","RG 12/340","49, 50
"
"23","1","286","Brunswick Street","Stamford Street","","25","RG 12/340","45
"
"23","1","287","Brunswick Street","Stamford Street","","26-35","RG 12/340","44-46
"
"23","1","288","Brunswick Street","Stamford Street","","3-4","RG 12/340","50-51
"
"23","1","289","Brunswick Street","Stamford Street","","36-37","RG 12/340","43
"
"23","1","290","Brunswick Street","Stamford Street","","38-45","RG 12/340","53-55
"
"23","1","291","Brunswick Street","Stamford Street","","46","RG 12/340","53, 55
"
"23","1","292","Brunswick Street","Stamford Street","","47-52","RG 12/340","53
"
"23","1","293","Brunswick Street","Stamford Street","","5","RG 12/340","46, 50
"
"23","1","294","Brunswick Street","Stamford Street","","53-55","RG 12/340","81
"
"23","1","295","Brunswick Street","Stamford Street","","56-58","RG 12/340","52-53
"
"23","1","296","Brunswick Street","Stamford Street","","59","RG 12/340","76
"
"23","1","297","Brunswick Street","Stamford Street","","6","RG 12/340","49-50
"
"23","1","298","Brunswick Street","Stamford Street","","60","RG 12/340","52-53, 55
"
"23","1","299","Brunswick Street","Stamford Street","","61-66","RG 12/340","51-52
"
"23","1","300","Brunswick Street","Stamford Street","","7-15","RG 12/340","48-49
"
"23","1","301","Brunswick Terrace","","later pt Grosvenor Terrace","","RG 12/357","69A-74
"
"23","1","302","Brunswick Terrace & House","Alvey Street","later Namur Terrace","","RG 12/359","62
"
"23","1","303","Brunswick Villas","Brunswick Terrace","later pt Grosvenor Terrace","","RG 12/357","74-76
"
"23","1","304","Buckenham Square & Street","New & Old Kent Roads","","","RG 12/345","205-210
"
"23","1","305","Bull Stairs","Upper Ground Street","","","RG 12/340","32
"
"23","1","306","Burgaley Dwelling","Red X Street","","","RG 12/342","99-101
"
"23","1","307","Burman Street","St Georges Road","was Union Street","","RG 12/348","125-128
"
"23","1","308","Burrell Street","Blackfriars Road","","1-13 odd","RG 12/341","79-80
"
"23","1","309","Burrell Street","Blackfriars Road","","10-12, 20 even","RG 12/341","63
"
"23","1","310","Burrell Street","Blackfriars Road","","15-23 odd","RG 12/341","62-63
"
"23","1","311","Burrell Street","Blackfriars Road","","2-8 even","RG 12/341","80-81
"
"23","1","312","Burrell Street","Blackfriars Road","","8-59 even","RG 12/341","81
"
"23","1","313","Burrell Street","Blackfriars Road","","Edwards Almshouses, Burrell Street","RG 12/341","63-64
"
"23","1","314","Burrows Mews","","","2 - 86","RG 12/340","111-112
"
"23","1","315","Burrows Mews","John Street West","","1, 7, 73, 82-88","RG 12/340","88-89
"
"23","1","316","Burton Buildings","Friar Street","Uninhabited","","RG 12/347","88
"
"23","1","317","Burton Street","Portland Street","","","RG 12/360","30-34
"
