"6","1","1","Abbotsham Villas","pt Brookfield Road","","","RG 12/206","182-183
"
"6","1","214","Boston House and Villas","pt Hermitage Road","","","RG 12/179","169-170
"
"6","1","215","Bouverie Road","Church Street","","1-113 Odd","RG 12/179","113-118
"
"6","1","216","Bouverie Road","Church Street","","115-139 Odd","RG 12/179","26-27
"
"6","1","217","Bouverie Road","Church Street","","2-110 Even","RG 12/179","109-113
"
"6","1","218","Bouverie Road","Church Street","","No 7 is unoccupied","RG 12/179","125
"
"6","1","219","Bower Road","White Post Lane","","","RG 12/207","98-101
"
"6","1","220","Bowling Green Place","Bowling Green Street","","","RG 12/184","19-20
"
"6","1","221","Bowling Green Street","Stoke Newington Common","","","RG 12/184","8-11
"
"6","1","222","Bradbury Street","Kinghsland High Street","","","RG 12/187","125-128
"
"6","1","223","Bradstock Road","Cassland Road","was Union Road and Springfield Terrace","1-31 Odd","RG 12/206","75-77
"
"6","1","224","Bradstock Road","Cassland Road","was Union Road and Springfield Terrace","14-44 Even","RG 12/206","77-78
"
"6","1","225","Bradstock Road","Cassland Road","was Union Road and Springfield Terrace","2-12 Even","RG 12/206","152-153
"
"6","1","226","Bradstock Road","Cassland Road","was Union Road and Springfield Terrace","33-37 Odd","RG 12/206","82
"
"6","1","227","Brampton Road","Cassland Road","","","RG 12/206","61-63
"
"6","1","228","Braydon Road","Kyverdale Road","","","RG 12/182","54-55
"
"6","1","229","Bremen Street","London Fields","was John Street","","RG 12/204","68-71
"
"6","1","230","Brett Road","Amhurst Road","including Quested Buildings","","RG 12/191","111-116
"
"6","1","231","Brett Road","Amhurst Road","including Quested Buildings","Manor Rooms","RG 12/191","113, 116
"
"6","1","232","Brick Lock Cottage","Hackney Cut & River Lea","","","RG 12/200","75
"
"6","1","233","Brickfields","","","Lees, Upper Clapton Road","RG 12/197","40
"
"6","1","234","Bridge Place","pt Walls Road","","","RG 12/207","192
"
"6","1","235","Bridge Street","Homerton High Street","","Nos mixed","RG 12/202","9-12
"
"6","1","236","Brighton Road","Stoke Newington Road","","","RG 12/1066","7-17
"
"6","1","237","Broadway","London Fields","sometimes called Shoreditch Broadway","","",""
"6","1","238","Broadway","London Fields","was Duncan, Ebenezer & Pritchards Places 1-35 Odd see SHOREDITCH District","","",""
"6","1","239","Broadway","London Fields","was Duncan, Ebenezer & Pritchards Places 1-35 Odd see SHOREDITCH District","37-85 Odd","RG 12/204","79-81
"
"6","1","240","Broadway","London Fields","was Duncan, Ebenezer & Pritchards Places 1-35 Odd see SHOREDITCH District","Even Nos","RG 12/204","86-89
"
"6","1","241","Brodia Road","Kynaston Road","","","RG 12/181","131-135
"
"6","1","242","Brook Street","Brooksbys Walk","now Holmbrook Street","","",""
"6","1","243","Brooke Road","Stoke Newington High Street","","1-35 Odd","RG 12/184","35-37
"
"6","1","244","Brooke Road","Stoke Newington High Street","","143-147 Odd","RG 12/184","118
"
"6","1","245","Brooke Road","Stoke Newington High Street","","149-153 pt Odd","RG 12/196","128
"
"6","1","246","Brooke Road","Stoke Newington High Street","","158-160 Even","RG 12/184","118
"
"6","1","247","Brooke Road","Stoke Newington High Street","","162-206 Even","RG 12/196","107-108
"
"6","1","248","Brooke Road","Stoke Newington High Street","","183-227 Odd","RG 12/196","124-125
"
"6","1","249","Brooke Road","Stoke Newington High Street","","2-22 Even","RG 12/184","43-45
"
"6","1","250","Brooke Road","Stoke Newington High Street","","24-50 Even","RG 12/185","13-15
"
"6","1","251","Brooke Road","Stoke Newington High Street","","37-141 Odd","RG 12/184","114-117
"
"6","1","252","Brooke Road","Stoke Newington High Street","","52 Even","RG 12/185","13
"
"6","1","253","Brooke Road","Stoke Newington High Street","","54-156 Even","RG 12/184","109-114
"
"6","1","254","Brooke Road","Stoke Newington High Street","* pages 39 & 40 have been torn in half and are to be found on folios 126-127 out of sequence. 126 - p40 RH. 126 - p39 RH. 127 p36 RH. 127 p40 LH.","*153 pt-181 Odd","RG 12/196","126-127 *
"
"6","1","255","Brookfield Road","Cassland Road","including Abbotsham Villas & many named houses","206","182-185","
"
"6","1","256","Brooksbys Walk","Homerton High Street","","1-37 Odd","RG 12/200","115-117
"
"6","1","257","Brooksbys Walk","Homerton High Street","","2-80 Even","RG 12/201","22-27
"
"6","1","258","Brooksbys Walk","Homerton High Street","","47-47A Odd","RG 12/201","24
"
"6","1","259","Brooksbys Walk","Homerton High Street","","Ambulance Station, Brooksbys Walk","RG 12/201","27
"
"6","1","260","Brooksbys Walk","Homerton High Street","","Grove Mission Hall, Brooksbys Walk","RG 12/201","25-26
"
"6","1","261","Broughton Road","Albion Road","","","RG 12/181","33-40
"
"6","1","262","Browns Place","Dunn Street","","","RG 12/186","69-72
"
"6","1","263","Brunswick Street & Mews","Well Street","","1-25 pt Odd","RG 12/201","117-118
"
"6","1","264","Brunswick Street & Mews","Well Street","","27-53 Odd","RG 12/201","118-119
"
"6","1","265","Brunswick Street & Mews","Well Street","","Even Nos","RG 12/201","119-122
"
"6","1","266","Brunswick Street & Mews","Well Street","","Mews, Brunswick Street & Mews, Brunswick Street & Mews","RG 12/201","121
"
"6","1","267","Brunswick Street & Mews","Well Street","","pt 25 Odd","RG 12/201","134
"
"6","1","268","Buccleugh Cottages","Springhill","","","RG 12/182","14
"
"6","1","269","Buckingham Road","Southgate Road","","Remainder, Buckingham Road","RG 12/188","80-90
"
"6","1","270","Buckingham Road","Southgate Road","","pt, Buckingham Road, 84","RG 12/188","118
"
"6","1","271","Bull Alley","Stoke Newington High Street","","","RG 12/184","18-19
"
"6","1","272","Burma Road & Mews","Green Lanes","was Grange Road and Alma Villas","","RG 12/181","173-179
"
"6","1","273","Burton Terrace","Marsh Hill later","pt Homerton High Street","","RG 12/201","79-80
"
"6","1","274","Bushberry Road","Sidney Road","","","RG 12/203","44-51
"
