"23","7","1","St Agnes Villas & Vicarage","Kennington Park","","","RG 12/364","4
"
"23","7","138","Southwark Street","","","95 Boys Home","RG 12/343","110-113
"
"23","7","139","Spencer House","John Street","","","RG 12/345","20
"
"23","7","140","Spillers Court","Webber Road","","","RG 12/349","139-140
"
"23","7","141","Spring Gardens Terrace","Brunswick Place","now Ralph Street","","","
"
"23","7","142","Springfield Villas","Brunswick Terrace","Later pt Grosvenor Terrace","","RG 12/357","74
"
"23","7","143","Spur Inn & Yard","129 Borough High Street","","1-4","RG 12/342","9, 21
"
"23","7","144","Spurgeon House","Cross Street","","","RG 12/345","144-145
"
"23","7","145","Stamford Place","Collingwood Street","","","RG 12/340","20-21
"
"23","7","146","Stamford Street","Blackfriars Road","","","RG 12/340","81
"
"23","7","147","Stamford Street","Blackfriars Road","","1 odd","RG 12/340","71
"
"23","7","148","Stamford Street","Blackfriars Road","","39-49 odd","RG 12/340","77-79
"
"23","7","149","Stamford Street","Blackfriars Road","","53-57 odd","RG 12/340","77
"
"23","7","150","Stamford Street","Blackfriars Road","","59 odd","RG 12/340","43
"
"23","7","151","Stamford Street","Blackfriars Road","","59 odd","RG 12/340","80
"
"23","7","152","Stamford Street","Blackfriars Road","No 2 is also 16","3-29 odd 79-81","RG 12/340","31 & 37
"
"23","7","153","Stamford Street","Blackfriars Road","Remainder in LAMBETH District","2-64 even","RG 12/340","6-14
"
"23","7","154","Standard Street","","","2-38 even","RG 12/351","104-107
"
"23","7","155","Standard Street","","","40-70 even","RG 12/353","70-72
"
"23","7","156","Standard Street","Deverell Street","","1-41 odd","RG 12/351","107-109
"
"23","7","157","Stanford Place","East Street","","","RG 12/345","100-101
"
"23","7","158","Stannage Cottages","Staple Street","","4 & 5 only","RG 12/344","108
"
"23","7","159","Stannage Court","Delph Street","","","RG 12/344","124
"
"23","7","160","Staple Street","Long Lane","","21-45 odd","RG 12/344","105-107
"
"23","7","161","Staple Street","Long Lane","","30-70 even","RG 12/344","106-108
"
"23","7","162","Staple Street","Long Lane","Remainder in St OLAVE District","","","
"
"23","7","163","Star Yard","Borough High Street","","","RG 12/346","87
"
"23","7","164","Station Road","","","Railway Tavern, Station Road","RG 12/366","127
"
"23","7","165","Station Road","","","Schoolhouse, Station Road","RG 12/366","126-127
"
"23","7","166","Station Road","","","Spurgeons Almshouses, Station Road","RG 12/366","126
"
"23","7","167","Station Road","New Kent Road","later pt Elephant Road","","RG 12/366","115-116
"
"23","7","168","Steedman Street","Wal worth Road","","","RG 12/366","5-8
"
"23","7","169","Sterry Street","Tabard Street","","","RG 12/344","77-81
"
"23","7","170","Stewart House","Russell Place","","","RG 12/344","197
"
"23","7","171","Stoney Street","Borough Market","","","RG 12/343","78-81
"
"23","7","172","Stopford Road","","","2-6 even","RG 12/364","139-140
"
"23","7","173","Stopford Road","","","7-25 odd","RG 12/365","22-24
"
"23","7","174","Stopford Road","","","8-26 even","RG 12/365","24-26
"
"23","7","175","Stopford Road","Manor Place","","1-5 odd","RG 12/364","139
"
"23","7","176","Streets Buildings","Sumner Street","","Block A 1-25","RG 12/342","158-160
"
"23","7","177","Streets Buildings","Sumner Street","","Pt, Streets Buildings, 16-18","RG 12/342","161
"
"23","7","178","Streets Buildings","Sumner Street","pt 5-16 MISSING between fs 160-161","Block B 1-5 pt","RG 12/342","160
"
"23","7","179","Stubbs House","Cross Street","","","RG 12/345","145-146
"
"23","7","180","Sturge Street","Great Suffolk Street","","","RG 12/346","158-162
"
"23","7","181","Sturgeon Road","Penrose Street","","even numbers","RG 12/365","38-42
"
"23","7","182","Sturgeon Road","Penrose Street","","odd numbers","RG 12/365","30-36
"
"23","7","183","Suffield Road","","","15-31 odd","RG 12/364","71-73
"
"23","7","184","Suffield Road","","","even numbers","RG 12/364","73-76
"
"23","7","185","Suffield Road","13 odd","","","RG 12/364","71, 83
"
"23","7","186","Suffield Road","Penton Place","","1-11 odd","RG 12/364","70-71
"
"23","7","187","Suffolk Cottages","","now pt Grosvenor Terrace","","","
"
"23","7","188","Sumner Street","","","1-15 odd","RG 12/341","87-88
"
"23","7","189","Surrey Buildings","East Street","later Minnow Street","","RG 12/345","96-98
"
"23","7","190","Surrey Grove","Alvey Street","","","RG 12/358","57-63
"
"23","7","191","Surrey Mews","Surrey Square","now Fremantle Street","","","
"
"23","7","192","Surrey Row","","","2-68 even","RG 12/341","16-21
"
"23","7","193","Surrey Row","","","27-39 do not exist 41-47 odd","RG 12/341","22-23
"
"23","7","194","Surrey Row","","","3-25 odd","RG 12/341","22-23
"
"23","7","195","Surrey Row","Blackfriars Road","","1 odd","RG 12/341","16
"
"23","7","196","Surrey Square","Old Kent Road","","1-19","RG 12/358","92-94
"
"23","7","197","Surrey Square","Old Kent Road","","1A-3A & Surrey Arms Public House, Surrey Square","RG 12/345","95
"
"23","7","198","Surrey Square","Old Kent Road","","30-34","RG 12/358","94-95
"
"23","7","199","Surrey Square","Old Kent Road","","36-38","RG 12/358","115
"
"23","7","200","Surrey Square","Old Kent Road","","39-66","RG 12/358","95-99
"
"23","7","201","Surrey Square","Old Kent Road","","School, Surrey Square","RG 12/358","94
"
"23","7","202","Surrey Terrace","Surrey Square","","","RG 12/345","95-96
"
"23","7","203","Sussex House","King Street","","","RG 12/347","45-46
"
"23","7","204","Sussex Place","Lower Bland Street","","","RG 12/351","73
"
"23","7","205","Sutherland Cottages","Sutherland Place","","","RG 12/355","61
"
"23","7","206","Sutherland Place","Sutherland Square later","takes in Charlotte Place","","RG 12/355","61
"
"23","7","207","Sutherland Square","Sutherland Street","","","RG 12/355","53-61
"
"23","7","208","Sutherland Street","Walworth Road","","1-7","RG 12/355","51-52
"
"23","7","209","Sutherland Street","Walworth Road","8-28 do not exist","29-32","RG 12/355","52
"
"23","7","210","Sutherland Street","Walworth Road","uninhabited","Mews, Sutherland Street","RG 12/355","61
"
"23","7","211","Swan Buildings","Cornbury Street","","","RG 12/345","126-127
"
