"11","1","204","Belvedere Road","Westminster Bridge Road","","37-57 odd","RG 12/389","86-87
"
"11","1","205","Belvedere Road","Westminster Bridge Road","","59 odd","RG 12/389","87, 118A
"
"11","1","206","Belvedere Road","Westminster Bridge Road","","61-69 odd","RG 12/389","87
"
"11","1","207","Ben Lomond Mews","Stockwell Park Crescent","","","RG 12/405","66
"
"11","1","208","Benedict Road","Stockwell Park Walk","","","RG 12/407","72-75
"
"11","1","209","Bengeworth Road","Coldharbour Lane","","","RG 12/415","20-23
"
"11","1","210","Bentons Lane","Gipsy Road","","Chestnut Cottages, Bentons Lane","RG 12/419","46-47
"
"11","1","211","Bentons Lane","Gipsy Road","","Effra Nursery, Bentons Lane","RG 12/419","46
"
"11","1","212","Bentons Lane","Gipsy Road","","Elder Cottages, Bentons Lane","RG 12/419","46
"
"11","1","213","Bentons Lane","Gipsy Road","","Elder Place, Bentons Lane","RG 12/419","47
"
"11","1","214","Bentons Lane","Gipsy Road","","Emmas Cottages, Bentons Lane","RG 12/419","47-48
"
"11","1","215","Bentons Lane","Gipsy Road","","Frederick Cottages, Bentons Lane","RG 12/419","47
"
"11","1","216","Bentons Lane","Gipsy Road","","Hollis Cottages, Bentons Lane","RG 12/419","47
"
"11","1","217","Beresford Street","Walworth Road","","1-269 odd","RG 12/357","4-17
"
"11","1","218","Beresford Street","Walworth Road","","2-244 even","RG 12/35"" *","114-12 caret 7
"
"11","1","219","Beresford Street","Walworth Road","","246 even","RG 12/403","81
"
"11","1","220","Beresford Street","Walworth Road","","271-279 odd","RG 12/403","80-81
"
"11","1","221","Beresford Street","Walworth Road","","Schoolhouse, Beresford Street","RG 12/357","14
"
"11","1","222","Berkeley Street","Saville Place","","","RG 12/392","39-43
"
"11","1","223","Berridge Road","Sainsbury Road","","","RG 12/419","80-85
"
"11","1","224","Berwyn Road","Norwood Road","","","RG 12/417","32-33
"
"11","1","225","Binfield Road","Clapham Road","","odd numbers","RG 12/400","237-240
"
"11","1","226","Binfield Road","Clapham Road","part 26-end missing after f 240","2-26 part even","RG 12/400","240
"
"11","1","227","Bird Place","Bird Street","","","RG 12/393","44
"
"11","1","228","Bird Street","Brook Street","becomes part Monkton Street in 1907","1-57 & Tea Gardens, Bird Street","RG 12/393","40-49
"
"11","1","229","Birds Cottages","Holland Street","","","RG 12/404","56-57
"
"11","1","230","Bishops Road","Lothian Road","","2-62 even","RG 12/404","46-50
"
"11","1","231","Bishops Road","Lothian Road","41-end odd and 64-end even in CAMBERWELL Dist","","",""
"11","1","232","Bishops Road","Lothian Road","becomes part Patmos Road in 1906","1-39 odd","RG 12/404","43-45
"
"11","1","233","Bishops Terrace","Walcot Square","","","RG 12/393","24-25
"
"11","1","234","Bloom Grove","Norwood High Street","","","RG 12/419","3-4
"
"11","1","235","Bloomfield Place","Vauxhall Street","","","RG 12/398","189-190
"
"11","1","236","Bloxham Buildings","Denmark Hill","","","RG 12/406","206-208
"
"11","1","237","Blythe Terrace","Mason Street","2-10 part even missing after f 183","part 10-32 even","RG 12/391","182-183
"
"11","1","238","Blythe Terrace","Mason Street","later Finck Street","1-33 odd","RG 12/391","180-182
"
"11","1","239","Bodiam Cottages","part Mill Lane","","","RG 12/411","71
"
"11","1","240","Bolney Street","Dorset Road","was Alfred and John Streets and Johns Cottages","","RG 12/400","80-85
"
"11","1","241","Bolton Street","St Marks Road","","","RG 12/403","8-14
"
"11","1","242","Bolwell Street & Terrace","Lambeth Walk","","","RG 12/394","108-112
"
"11","1","243","Bon Marche","Brixton Road","","","RG 12/416","156-159
"
"11","1","244","Bon Marche Terrace and Mews","part Gipsy Hill","","","RG 12/419","51-52
"
"11","1","245","Bond Court or Place","Bond Street","","","RG 12/387","54-58
"
"11","1","246","Bond Street","Commercial Road","Later Bazon Street","","RG 12/387","51-54
"
"11","1","247","Bond Street","Wandsworth Road","","","RG 12/399","175-182
"
"11","1","248","Bonham Road","Sudbourne Road","","16-74 even","RG 12/410","71-75
"
"11","1","249","Bonham Road","Sudbourne Road","","2-14 even","RG 12/410","39-40
"
"11","1","250","Bonham Road","Sudbourne Road","","59-65 odd","RG 12/410","70
"
"11","1","251","Bonham Road","Sudbourne Road","","7-53 odd","RG 12/410","71-74
"
"11","1","252","Bonnington Square","Langley Lane","","1-13 odd","RG 12/399","88-89
"
"11","1","253","Bonnington Square","Langley Lane","","15-49 odd","RG 12/399","114-118
"
"11","1","254","Bonnington Square","Langley Lane","","2-56 even","RG 12/399","122-128
"
"11","1","255","Bonnington Square","Langley Lane","","51 odd","RG 12/399","131
"
"11","1","256","Bonnington Square","Langley Lane","","53-71 odd","RG 12/399","118-122
"
"11","1","257","Bonnington Square","Langley Lane","","58-70 even","RG 12/399","119-122
"
"11","1","258","Bonnington Square","Langley Lane","","72-82 even","RG 12/399","128-131
"
"11","1","259","Bonnington Square","Langley Lane","","73-81 odd","RG 12/399","128-131
"
"11","1","260","Bonnington Square","Langley Lane","","Vine Lodge, Bonnington Square","RG 12/399","131
"
"11","1","261","Bowden Street","Cleaver Street","","","RG 12/398","93-94
"
"11","1","262","Bowerings Yard or Buildings","Roupell Street","","","RG 12/387","135
"
"11","1","263","Bowling Green Street","Kennington Road","now contains Bowling Green Place & Ivy Cottages","","RG 12/398","179-183
"
"11","1","264","Brad Street and Terrace","Cornwall Road","","31-49 only & 12-15 Terrace; Remainder empty Railway Arches","RG 12/387","135-138
"
"11","1","265","Brading Road","Upper Tulse Hill","Being built","","RG 12/412","15-17
"
"11","1","266","Bradley Street","Wilcox Road","","","RG 12/401","39-41
"
"11","1","267","Brailsford Road","Tulse Hill","","1-32","RG 12/412","51-55
"
"11","1","268","Brailsford Road","Tulse Hill","","33","RG 12/412","55, 59
"
"11","1","269","Brailsford Road","Tulse Hill","","34-77","RG 12/412","55-59
"
"11","1","270","Bramah Road","Mostyn Road","","","RG 12/404","178-188
"
"11","1","271","Brandon Road","Lyham Road","","even numbers","RG 12/410","97-104
"
"11","1","272","Brandon Road","Lyham Road","","odd numbers","RG 12/410","114-116
"
"11","1","273","Branksome Road","Acre Lane","","1-47 odd","RG 12/411","24-31
"
"11","1","274","Branksome Road","Acre Lane","","2-48 even","RG 12/411","24-30
"
"11","1","275","Branksome Road","Acre Lane","","51-57 odd","RG 12/410","43
"
"11","1","276","Branksome Road","Acre Lane","","54-58 even","RG 12/410","43-44
"
"11","1","277","Branksome Road","Acre Lane","","59-65 odd","RG 12/410","70
"
"11","1","278","Branksome Road","Acre Lane","","60-66 even","RG 12/410","70
"
"11","1","279","Bredon Road","Bengeworth Road","","","RG 12/415","23-26
"
"11","1","280","Brickwell Cottages","Stockwell Road","","","RG 12/405","128-129
"
"11","1","281","Bridge Corner","Albert Embankment","","","RG 12/392","142-143
"
"11","1","282","Bridge House","Hinton Terrace","","","RG 12/414","120
"
"11","1","283","Brighton Terrace","Brixton Road","","","RG 12/407","112-117
"
"11","1","284","Brixton Hill","","","114-142 even","RG 12/411","36-37
"
"11","1","285","Brixton Hill","","","123 odd","RG 12/411","138
"
"11","1","286","Brixton Hill","","","125-129 odd","RG 12/411","116
"
"11","1","287","Brixton Hill","","","131-169 odd","RG 12/412","4-5
"
"11","1","288","Brixton Hill","","","144-204 even","RG 12/411","38-42
"
"11","1","289","Brixton Hill","","","2-60 even","RG 12/410","34-37
"
"11","1","290","Brixton Hill","","","206-276 even","RG 12/411","71-75
"
