"11","7","277","Sun Court","Denmark Hill","","","RG 12/415","29
"
"11","7","278","Sun Court","Princes Road","","empty, Sun Court","RG 12/396","67
"
"11","7","279","Surrey Lodge Swellings","Kennington Road","","1-13","RG 12/391","15-16
"
"11","7","280","Surrey Lodge Swellings","Kennington Road","","104-123","RG 12/391","14-15
"
"11","7","281","Surrey Lodge Swellings","Kennington Road","","124-143","RG 12/391","15-16
"
"11","7","282","Surrey Lodge Swellings","Kennington Road","","14-29","RG 12/391","16-17
"
"11","7","283","Surrey Lodge Swellings","Kennington Road","","30-45","RG 12/391","17
"
"11","7","284","Surrey Lodge Swellings","Kennington Road","","46-61","RG 12/391","17-18
"
"11","7","285","Surrey Lodge Swellings","Kennington Road","","64-83","RG 12/391","13
"
"11","7","286","Surrey Lodge Swellings","Kennington Road","","84-103","RG 12/391","13-14
"
"11","7","287","Surrey Mews","Bowling Green Street","","","RG 12/398","183
"
"11","7","288","Surrey Mews","Hamilton Road","","","RG 12/418","34
"
"11","7","289","Surrey Square","Kennington Road","","","RG 12/391","55
"
"11","7","290","Sussex Grove","Sussex Road","","","RG 12/414","68-70
"
"11","7","291","Sussex Road","Coldharbour Lane","","","RG 12/414","98-110
"
"11","7","292","Sussex Street","Cornwall Road","now Milstead Street","","",""
"11","7","293","Sutton Street","York Road","Missing numbers demolished and or railways","","RG 12/389","100-103
"
"11","7","294","Swan Mews","Stockwell Road","","","RG 12/405","122
"
"11","7","295","Sydenham Mews","Lansdowne Hill","","","RG 12/417","75
"
"11","7","296","Talma Road","Kellet Road","","1-67 odd","RG 12/413","120-124
"
"11","7","297","Talma Road","Kellet Road","","12-42 even","RG 12/413","124-126
"
"11","7","298","Talma Road","Kellet Road","","2-10 even","RG 12/413","121
"
"11","7","299","Tandridge Place","Fenwick Place","","","RG 12/409","10-12
"
"11","7","300","Tasman Road","Landor Road","","","RG 12/409","53-60
"
"11","7","301","Temple Street","St Georges Road","","1A-2A","RG 12/349","14-15
"
"11","7","302","Temple Street","St Georges Road","","2-34 even","RG 12/349","15-19
"
"11","7","303","Temple Street","St Georges Road","","20A-23A","RG 12/393","17-18
"
"11","7","304","Temple Street","St Georges Road","","3-41 odd","RG 12/349","9-14
"
"11","7","305","Tennison Street","York Road","","","RG 12/389","106-115
"
"11","7","306","The Exchange","Upper Tulse Hill","","","RG 12/412","6
"
"11","7","307","The Mart","411-417 Brixton Road","","","RG 12/414","35-36
"
"11","7","308","The Terrace","Kennington Park,","Later Kennington Terrace","","RG 12/403","2-4
"
"11","7","309","Theed Street","Roupell Street","","","RG 12/387","117-118
"
"11","7","310","Theobald Terrace","part Landor Road","","1-5 (not named)","RG 12/406","11-13
"
"11","7","311","Theobald Terrace","part Landor Road","","6-20","RG 12/405","168-170
"
"11","7","312","Thomas Cottages or Place","Princes Street","later Over Place","","RG 12/387","109-110
"
"11","7","313","Thomas Place","Norwood Road","called Waylett Place in 1911","","RG 12/417","71-72
"
"11","7","314","Thomas Place","Princes Street","later Over Place","","RG 12/394","89-91
"
"11","7","315","Thomas Place","Waterloo Road","called Starling Place in 1911","","RG 12/390","63-64
"
"11","7","316","Thomas Street","Kennington Park","","1 odd","RG 12/403","36-37
"
"11","7","317","Thomas Street","Kennington Park","","137-243 odd","RG 12/403","37-40
"
"11","7","318","Thomas Street","Kennington Park","","3-79 odd","RG 12/403","40-45
"
"11","7","319","Thomas Street","Kennington Park","","64-96 even","RG 12/403","60-62
"
"11","7","320","Thomas Street","Kennington Park","","81-133 odd","RG 12/403","62-65
"
"11","7","321","Thomas Street","Kennington Park","","98-190 even","RG 12/403","91-95
"
"11","7","322","Thomas Street","Kennington Park","later part Warham Street","1A-2A","RG 12/403","36
"
"11","7","323","Thomas Street","Lower Marsh","now part Coral Street","","",""
"11","7","324","Thomas Street","Princes Street","later Aquainas Street","","RG 12/387","104
"
"11","7","325","Thorne Road","South Lambeth Road","","1-34","RG 12/400","166-171
"
"11","7","326","Thorne Road","South Lambeth Road","","35-63","RG 12/400","191-195
"
"11","7","327","Thorne Street","Wandsworth Road","","1-28","RG 12/401","91-97
"
"11","7","328","Thorne Street","Wandsworth Road","","31-53","RG 12/401","65-69
"
"11","7","329","Thornlaw Road","Knights Hill Road","","","RG 12/419","26-30, 41
"
"11","7","330","Thornton Street","Brixton Road","","","RG 12/407","24-30
"
"11","7","331","Thorparch Road","Crimsworth Road","Including Stainsborough House. Being built","","RG 12/402","87-98
"
"11","7","332","Thurlestone Road","St Julians Farm Road","Being built","","RG 12/419","11-15
"
"11","7","333","Thurlow Park Road","Norwood Road","","1-10 and others","RG 12/417","95-97
"
"11","7","334","Thurlow Park Road","Norwood Road","","Clinton Villas & others","RG 12/417","139-140
"
"11","7","335","Thurlow Park Road","Norwood Road","see also CAMBERWELL and WANDSWORTH Districts","","",""
"11","7","336","Tintern Street","Ferndale Road","","","RG 12/408","19-24
"
"11","7","337","Topaz Street","East Street","was New Street","","RG 12/394","144-149
"
"11","7","338","Torrens Road","Horsford Road","","","RG 12/410","54-57
"
"11","7","339","Torrens Street","Ferndale Road","","","RG 12/408","140-142
"
"11","7","340","Townley Cottages","part Industry Terrace","","","RG 12/414","44
"
"11","7","341","Tracey Street","Kennington Road","","","RG 12/395","89-99
"
"11","7","342","Tradescant Road","South Lambeth Road","","1-17 odd","RG 12/400","46-47
"
"11","7","343","Tradescant Road","South Lambeth Road","","19 odd","RG 12/400","47, 65
"
