"13","4","1","James Buildings","Hutchison Street","","","RG 12/235","14
"
"13","4","154","London Wall Avenue","","","East Side unoccupied","RG 12/241","104
"
"13","4","155","London Wall Avenue","","","West Side unoccupied","RG 12/239","92
"
"13","4","156","Long Lane","Aldersgate Street","","1-9","RG 12/236","114-115
"
"13","4","157","Long Lane","Aldersgate Street","","18-23","RG 12/237","17-18
"
"13","4","158","Long Lane","Aldersgate Street","10-17 and 24-49 do not exist","50-92","RG 12/237","45-47
"
"13","4","159","Lothbury","Bank","no other numbers exist","3-7 and 39-43","RG 12/241","58-59
"
"13","4","160","Love Lane","Eastcheap","","","RG 12/240","61-62, 65
"
"13","4","161","Love Lane","Wood Street","","1-3 unoccupied","RG 12/239","98
"
"13","4","162","Love Lane","Wood Street","","4-7","RG 12/239","94
"
"13","4","163","Love Lane","Wood Street","","8 unoccupied","RG 12/239","98
"
"13","4","164","Love Lane","Wood Street","","9-12","RG 12/239","94
"
"13","4","165","Love Lane","Wood Street","","Little unoccupied","RG 12/239","98
"
"13","4","166","Lower Thames Street","","","112-122","RG 12/240","67
"
"13","4","167","Lower Thames Street","","","123-129","RG 12/240","52
"
"13","4","168","Lower Thames Street","","","16-51 Billingsgate","RG 12/240","61
"
"13","4","169","Lower Thames Street","","","3-12","RG 12/240","67
"
"13","4","170","Lower Thames Street","","","52-61","RG 12/240","72-73
"
"13","4","171","Lower Thames Street","","","62-90","RG 12/240","85-89
"
"13","4","172","Lower Thames Street","","","91-111 Coal Exchange","RG 12/240","61
"
"13","4","173","Lower Thames Street","","","Custom House, Lower Thames Street","RG 12/240","89
"
"13","4","174","Lower Thames Street","","","St Magnus Parish Church, Sexton and Parish Clerks House, Lower Thames Street","RG 12/240","52
"
"13","4","175","Ludgate Circus and Buildings","","","","RG 12/238","94
"
"13","4","176","Ludgate Hill","","","11-63 Odd","RG 12/239","64-65
"
"13","4","177","Ludgate Hill","","","15 Odd","RG 12/239","37
"
"13","4","178","Ludgate Hill","","","18-40 Even","RG 12/239","63
"
"13","4","179","Ludgate Hill","","","2-16 Even","RG 12/239","37-38
"
"13","4","180","Ludgate Hill","","","62-78 Even","RG 12/238","94-95
"
"13","4","181","Ludgate Hill","","","65-75 Odd","RG 12/238","94
"
"13","4","182","Ludgate Hill","","42-58 Even unoccupied","60 Even","RG 12/239","65
"
"13","4","183","Ludgate Hill","","","1-9 Odd","RG 12/239","36-37
"
