"11","4","274","Lower Marsh","Waterloo Road","","1-26","RG 12/390","2-4
"
"11","4","275","Lower Marsh","Waterloo Road","","127-142","RG 12/389","51
"
"11","4","276","Lower Marsh","Waterloo Road","","27-29","RG 12/390","49
"
"11","4","277","Lower Marsh","Waterloo Road","","30-62","RG 12/390","32-34
"
"11","4","278","Lower Marsh","Waterloo Road","","64-67","RG 12/388","84
"
"11","4","279","Lower Marsh","Waterloo Road","","69-75","RG 12/389","143-144
"
"11","4","280","Lower Marsh","Waterloo Road","","76-125","RG 12/389","60-64
"
"11","4","281","Lower Tulse Hill","Water Lane","See Tulse Hill","","",""
"11","4","282","Lowth Road","Coldharbour Lane","","Stables, Lowth Road","RG 12/406","183
"
"11","4","283","Lowth Road","Coldharbour Lane","","odd numbers","RG 12/406","181-185
"
"11","4","284","Lowth Road","Coldharbour Lane","was Wellington Road","even numbers","RG 12/406","170-173
"
"11","4","285","Lucretia Road","Kempsford Road","","6-27","RG 12/393","115-118
"
"11","4","286","Lucretia Road","Kempsford Road","part Wincott Street in 1900","1-5","RG 12/393","112
"
"11","4","287","Lucretia Street","Lower Marsh","later part Grindal Street","","RG 12/390","12-15
"
"11","4","288","Lunham Road","Central Hill","","","RG 12/419","101-103
"
"11","4","289","Luscombe Street","Wandsworth Road","","even numbers","RG 12/401","37-38
"
"11","4","290","Luscombe Street","Wandsworth Road","now contains Louisa & Wellington Terraces","odd numbers","RG 12/400","4-6
"
"11","4","291","Lutheran Place","Upper Tulse Hill","","","RG 12/411","77-79
"
"11","4","292","Luxor Street","Coldharbour Lane","","","RG 12/406","140-143
"
"11","4","293","Lydia Buildings","Cornwall Road","","","RG 12/387","73-74
"
"11","4","294","Lyham Road","Cornwall Road.","","45-57 odd","RG 12/411","9-10
"
"11","4","295","Lyham Road","Cornwall Road.","","85-87 A odd","RG 12/411","114
"
"11","4","296","Lyham Road","Cornwall Road.","","91-353 odd","RG 12/411","46-56
"
"11","4","297","Lyham Road","Cornwall Road.","","Christine Terrace 1-11 (21-34 odd)","RG 12/411","8-9
"
"11","4","298","Lyham Road","Cornwall Road.","","East Side: 1-19 odd","RG 12/411","7-8
"
"11","4","299","Lyham Road","Cornwall Road.","","Named Houses (61-83 odd?)","RG 12/411","6-7
"
"11","4","300","Lyham Road","Cornwall Road.","","Wesleyan Mission Hall & Carter Patersons Stables, Lyham Road","RG 12/411","10
"
"11","4","301","Lyham Road","Cornwall Road.","West Side in WANDSWORTH District","","",""
