"23","3","1","Gable Cottages","Little Suffolk Street","","","RG 12/346","57-59
"
"23","3","128","Helena House","","see Blendon Row","101-110","RG 12/363","98-99
"
"23","3","129","Helena House","","see Blendon Row","110","RG 12/363","103
"
"23","3","130","Helena House","","see Blendon Row","112-124","RG 12/363","99-101
"
"23","3","131","Hendre Cottages","Hendre Road","","","RG 12/345","46
"
"23","3","132","Hendre Road","North","","Side:, Hendre Road, 1-6","RG 12/345","47
"
"23","3","133","Hendre Road","Old Kent Road South","","Side:, Hendre Road, 1-7","RG 12/345","71-72
"
"23","3","134","Henley Square","Bear Lane","","","RG 12/341","78-79
"
"23","3","135","Henry Street","Tabard Street","","1-9","RG 12/344","154-155
"
"23","3","136","Henry Street","Tabard Street","later Pardoner Street","21-26","RG 12/344","155-156
"
"23","3","137","Henry Street","Tabard Street","later Pardoner Street","28-36","RG 12/344","156-157
"
"23","3","138","Henry Street","Tabard Street","later Pardoner Street","37","RG 12/344","157, 159, 162
"
"23","3","139","Henry Street","Tabard Street","later Pardoner Street","38","RG 12/344","160, 162
"
"23","3","140","Henry Street","Tabard Street","later Pardoner Street","39-48","RG 12/344","159-160
"
"23","3","141","Henry Street","Tabard Street","later Pardoner Street 10-20 unoccupied","27","RG 12/344","156, 162
"
"23","3","142","Henshaw Street","","","2-78 even","RG 12/354","22-29
"
"23","3","143","Henshaw Street","","","79-81 odd","RG 12/345","194-195
"
"23","3","144","Henshaw Street","","","80-82 even","RG 12/345","195
"
"23","3","145","Henshaw Street","","","Pt 29-77 odd","RG 12/354","5-9
"
"23","3","146","Henshaw Street","","6-ll pt MISSING on f 3","Pt ll-15 pt","RG 12/354","4
"
"23","3","147","Henshaw Street","Chatham Place","","1-5 odd","RG 12/354","3
"
"23","3","148","Herberts Place","Lansdowne Place","later pt Lansdowne Place","1-3","RG 12/344","139-140
"
"23","3","149","Herberts Place","Lansdowne Place","later pt Lansdowne Place","4-5","RG 12/344","142-143
"
"23","3","150","Herberts Place","Lansdowne Place","later pt Lansdowne Place","6","RG 12/344","160
"
"23","3","151","Herberts Place","Lansdowne Place","later pt Lansdowne Place","7","RG 12/344","142
"
"23","3","152","Herberts Place","Lansdowne Place","later pt Lansdowne Place","8","RG 12/344","160
"
"23","3","153","Herberts Place","Lansdowne Place","later pt Lansdowne Place","9-11","RG 12/344","142-143
"
"23","3","154","Hewson Street","Heygate Street","","","RG 12/367","81-82
"
"23","3","155","Heygate Street","Walworth Road","","1-5 odd","RG 12/367","68
"
"23","3","156","Heygate Street","Walworth Road","","17-59 odd","RG 12/367","86-89
"
"23","3","157","Heygate Street","Walworth Road","","2-54 even","RG 12/367","82-86
"
"23","3","158","Heygate Street","Walworth Road","","7-15 odd Schools & Synagogue","RG 12/367","68
"
"23","3","159","Heygate Street","Walworth Road","","Jewish Schoolhouse, Heygate Street","RG 12/367","68
"
"23","3","160","High Park Crescent","Thurlow Street","","","RG 12/359","53-54
"
"23","3","161","Hill Street","Friar Street","","1-3","RG 12/347","9
"
"23","3","162","Hill Street","Friar Street","4-29 demolished","30-41","RG 12/347","6-8
"
"23","3","163","Hill Street","Friar Street","Almshouses","Drapers, Hill Street","RG 12/347","9
"
"23","3","164","Hill Street","Friar Street","Almshouses","Rowland Hill, Hill Street","RG 12/347","8-9
"
"23","3","165","Hill Street","Walworth Road","","1-129 odd","RG 12/356","134-142
"
"23","3","166","Hill Street","Walworth Road","","160-184 even","RG 12/356","48-50
"
"23","3","167","Hill Street","Walworth Road","","186-210 even","RG 12/356","50-51
"
"23","3","168","Hill Street","Walworth Road","","2-158 even","RG 12/356","89-102
"
"23","3","169","Hill Street","Walworth Road","","212-244 even","RG 12/356","20-22
"
"23","3","170","Hill Street","Walworth Road","","Prince Regent Buildings, Hill Street","RG 12/356","138-139
"
"23","3","171","Hill Street","Walworth Road","later Hillingdon Street","131-237 odd","RG 12/356","128-133
"
"23","3","172","Hillery Road","Rodney Road","","","RG 12/354","66-71
"
"23","3","173","Hodson Street","Crampton Street","","","RG 12/365","83-85
"
"23","3","174","Holland Street","Sumner Street","","","RG 12/341","84
"
"23","3","175","Holland Street","Sumner Street","","3-43 odd","RG 12/341","84-87
"
"23","3","176","Holland Street","Sumner Street","","45-61 odd","RG 12/341","82-83
"
"23","3","177","Holland Street","Sumner Street","","46-60 & 78 even","RG 12/342","after f 161
"
"23","3","178","Holland Street","Sumner Street","","Hoptons Almshouse, Holland Street","RG 12/341","81-82
"
"23","3","179","Holland Street","Sumner Street","","School, Holland Street","RG 12/341","82
"
"23","3","180","Holland Street","Sumner Street","2-32 even MISSING","34-44 even","RG 12/342","161
"
"23","3","181","Holyoake Road","Brook Street, Lambeth","","","RG 12/366","77-85
"
"23","3","182","Homes & refuges","Ebenezer Terrace","","Home for Inebriate Women","RG 12/364","5-6
"
"23","3","183","Hope Street","Villa Street","","","RG 12/360","37-39
"
"23","3","184","Hopwood Street","Inville Road","","","RG 12/359","20-22
"
"23","3","185","Horse & Groom Court","Newington Butts","","","RG 12/365","51-52
"
"23","3","186","Horse Shoe Alley","Bankside","being built","","RG 12/343","23
"
"23","3","187","Horsley Street","Westmoreland Road","","","RG 12/361","41-45
"
"23","3","188","Hospitals","","Remainder in St OLAVE District","Guys Hospital, Petersham House, Staff only","RG 12/342","21
"
"23","3","189","Hospitals","Lambeth Road","","Bethlehem Royal Hospital for Lunatics","RG 12/350","103-117
"
"23","3","190","Hospitals","Southwark Bridge Road","","Evelina Hospital for Children","RG 12/346","19-20
"
"23","3","191","Hughes Place","Newington Causeway","later Worsdale Court","","RG 12/352","69
"
"23","3","192","Hunters Place","Rephidrim Street","","","RG 12/344","189-190
"
"23","3","193","Huntsman Street","Barlow Street","","","RG 12/362","89-90
"
"23","3","194","Hurlbutt Place","Newington Butts","","","RG 12/365","85-92
"
"23","3","195","Ilfracombe Buildings","Marshalsea Road","","","RG 12/346","41-44
"
"23","3","196","Iliffe Street","Penton Place","","","RG 12/365","64-71
"
"23","3","197","Imperial Chambers","Mason Street","","","RG 12/345","161-162
"
"23","3","198","Inville Road","Alvey Street","","1-49 odd","RG 12/359","29-33
"
"23","3","199","Inville Road","Alvey Street","","2-44 even","RG 12/359","33-37
"
"23","3","200","Inville Road","Alvey Street","","46-110 even","RG 12/360","65-68
"
"23","3","201","Inville Road","Alvey Street","","51-111 odd","RG 12/360","61-65
"
"23","3","202","Isabella Street","","","2-17","RG 12/340","97-100
"
"23","3","203","Isabella Street","Collingwood Street","","1","RG 12/340","105
"
