"19","3","202","Hyde Park","","","Hyde Park Barracks","RG 12/84","63-74
"
"19","3","203","Hyde Park","","","Military Guard Rooms","RG 12/69","90
"
"19","3","204","Hyde Park","","","New Lodge, Hyde Park","RG 12/69","90
"
"19","3","205","Hyde Park","","","Ordnance Office","RG 12/69","90
"
"19","3","206","Hyde Park","","","Police Station, Hyde Park","RG 12/69","90-91
"
"19","3","207","Hyde Park","","","Rangers Lodge and Stables, Hyde Park","RG 12/69","89
"
"19","3","208","Hyde Park","","","Royal Humane Soclety's Receiving House, Hyde Park","RG 12/69","91
"
"19","3","209","Hyde Park","","","St Georges Hospital, Hyde Park Corner","RG 12/77","70-83
"
"19","3","210","Hyde Park","","","Stanhope Gate Lodge, Hyde Park","RG 12/70","73
"
"19","3","211","Hyde Park","","","The Lodge, Hyde Park Corner","RG 12/71","3
"
"19","3","212","Hyde Park Place","pt of Bayswater Road and Oxford Street","","1-9","RG 12/13","127-128
"
"19","3","213","Hyde Park Place","pt of Bayswater Road and Oxford Street","","10-24","RG 12/69","88-89
"
"19","3","214","Hyde Park Terrace Mews","","","","RG 12/84","53, 57
"
"19","3","215","Iddlesleigh Mansions","Caxton Street","","","RG 12/82","123-124
"
