hisco3,hisco,title3,title5
721,72100,"Metal smelting, converting and refining furnacemen",Metal smelters and furnacemen
722,72200,Metal rollers and workers in metal rolling mills,Metal rollers
873,87330,Sheet metal manufacturing and related workers,Coppersmith or copperware maker
720,72000,"Metal workers, specialisation unknown","Metal workers, specialisation unknown"
720,72000,"Metal workers, specialisation unknown","Metal workers, specialisation unknown"
720,72000,"Metal workers, specialisation unknown","Metal workers, specialisation unknown"
721,72100,"Metal smelting, converting and refining furnacemen",Metal smelters and furnacemen
720,72000,"Metal workers, specialisation unknown","Metal workers, specialisation unknown"
832,83230,Tool and pattern makers and related workers,Pattern makers nfs and nec
832,83230,Tool and pattern makers and related workers,Pattern makers nfs and nec
832,83230,Tool and pattern makers and related workers,Pattern makers nfs and nec
832,83230,Tool and pattern makers and related workers,Pattern makers nfs and nec
832,83230,Tool and pattern makers and related workers,Pattern makers nfs and nec
841,84120,"Mechanics, millwrights and machine manufacturing workers",Millwright
724,72400,Metal casters and workers in metal casting plants,Metal casters and workers in metal casting plants
724,72400,Metal casters and workers in metal casting plants,Metal casters and workers in metal casting plants
831,83150,Blacksmiths and related workers,Farrier or horse shoer
831,83120,Blacksmiths and related workers,Blacksmith
841,,"Mechanics, millwrights and machine manufacturing workers",
841,84130,"Mechanics, millwrights and machine manufacturing workers","Machine makers, builders and fitters"
841,84130,"Mechanics, millwrights and machine manufacturing workers","Machine makers, builders and fitters"
841,,"Mechanics, millwrights and machine manufacturing workers",
835,83520,"Cutlers, Metal Grinders, Polishers and Sharpeners",Metal polishers and finishers
873,87330,Sheet metal manufacturing and related workers,Coppersmith or copperware maker
834,83400,Machinists,Machinists
834,83400,Machinists,Machinists
834,83400,Machinists,Machinists
834,83400,Machinists,Machinists
834,83400,Machinists,Machinists
841,84190,"Mechanics, millwrights and machine manufacturing workers",Other machinery fitters and machine assemblers
873,87350,Sheet metal manufacturing and related workers,Boiler maker
841,84190,"Mechanics, millwrights and machine manufacturing workers",Other machinery fitters and machine assemblers
841,84190,"Mechanics, millwrights and machine manufacturing workers",Other machinery fitters and machine assemblers
841,84190,"Mechanics, millwrights and machine manufacturing workers",Other machinery fitters and machine assemblers
841,84190,"Mechanics, millwrights and machine manufacturing workers",Other machinery fitters and machine assemblers
841,84190,"Mechanics, millwrights and machine manufacturing workers","Mechanics, millwrights and machine manufacturing workers"
841,84190,"Mechanics, millwrights and machine manufacturing workers","Mechanics, millwrights and machine manufacturing workers"
874,87430,Structural metal workers,Rivetters nec
32,3200,Technicians,Technician
851,85100,Electrical manufacturing workers,Electrical fitter or electrical equipment assembler
851,85100,Electrical manufacturing workers,Electrical fitter or electrical equipment assembler
851,85100,Electrical manufacturing workers,Electrical fitter or electrical equipment assembler
855,85500,Electricians and wiremen,Electrician or wireman
849,84900,Machinery manufacturing workers nec ,Others in machinery
838,83830,Metal product manufacturing workers nec ,Agricultural implement and related products manufacturing workers
832,83210,Tool and pattern makers and related workers,"Toolmakers, nfs"
832,83290,Tool and pattern makers and related workers,Other toolmakers and metal markers
831,83160,Blacksmiths and related workers,Specialized makers of forged metal products
838,83820,Metal product manufacturing workers nec ,Sawmakers
835,,"Cutlers, Metal Grinders, Polishers and Sharpeners",
838,83890,Metal product manufacturing workers nec ,Other metal workers nec
838,83890,Metal product manufacturing workers nec ,Other metal workers nec
838,83890,Metal product manufacturing workers nec ,Other metal workers nec
759,75990,Specialized textile workers nec,Other specialised textile workers
724,72400,Metal casters and workers in metal casting plants,Metal casters and workers in metal casting plants
838,83890,Metal product manufacturing workers nec ,Other metal workers nec
836,83600,Firearms manufacturing workers,Gunsmith
742,74200,Gunpowder and explosivers maker,Gunpowder and explosivers maker
742,74200,Gunpowder and explosivers maker,Gunpowder and explosivers maker
835,83540,"Cutlers, Metal Grinders, Polishers and Sharpeners",Cutlers and cutting instrument makers
838,83850,Metal product manufacturing workers nec ,Nailers and nail makers
838,83890,Metal product manufacturing workers nec ,Other metal workers nec
831,83160,Blacksmiths and related workers,Specialized makers of forged metal products
838,83890,Metal product manufacturing workers nec ,Other metal workers nec
838,83890,Metal product manufacturing workers nec ,Other metal workers nec
838,83890,Metal product manufacturing workers nec ,Other metal workers nec
838,83890,Metal product manufacturing workers nec ,Other metal workers nec
838,83860,Metal product manufacturing workers nec ,Wire makers
838,83860,Metal product manufacturing workers nec ,Wire makers
838,83860,Metal product manufacturing workers nec ,Wire makers
837,83700,Lock and key manufacturing workers,Locksmith
838,83890,Metal product manufacturing workers nec ,Other metal workers nec
838,83890,Metal product manufacturing workers nec ,Other metal workers nec
